Borostomias elucens
Clupea pallasii
Pteropus dasymallus
Cottocomephorus inermis
Rana pipiens
Parophrys vetulus
Fabriciana adippe
Neope goschkevitschii
Symphodus melops
Cottus kessleri
Heliconius charithonia
Canthidermis maculata
Polyipnus polli
Acanthephyra curtirostris
Coryphaenoides carapinus
Pilumnus sayi
Bero elegans
Photuris lucicrescens
Hemimysis anomala
Sternoptyx diaphana
Alosa kessleri
Anadevidia peponis
Rana cracrivora
Aulorhynchus flavidus
Chlorops sp.
Orectolobus maculatus
Thysanopoda orientalis
Aphanopus  carbo
Scaphirhynchus albus
Lonchura striata
Hydrolagus mirabilis
Rhamphocottus richardsonii
Ichneumon stramentrius
Dermogenys pusilla
Parantica sita
Lepidopsetta bilineata
Anolis cristatellus
Ligia exotica
Orectolobus ornatus
Metynnis argenteus
Xiphister  atropurpureus
Hippoglossoides elassodon
Neoniphon sammara
Pieris rapae
Xiphydria camelus
Metriaclima melabranchion
Gaidropsarus mediterraneus
Sergestes corniculum
Spermophilus lateralis
Lycaena phlaeas
Pomacentrus melanochir
Antherea polyphemus
Lepilemur ruficaudatus
Bodianus bilunulatus
Drosophilia melanogaster
Pseudopleuronectes herzensteini
Acanthropagrus major
Ctenophorus ornatus
Sasakia charonda
Mora moro
Notostomus gibbosus
Taurulus bubalis
Adoxophyes orana
Anchoa mitchilli
Cottinella boulengeri
Merluccius merluccius
Hydrolagus colliei
Caelorhinchus labiatus
Gymnocanthus pistilliger
Notostomus elegans
Myoxocephalus quadricornis
Bentheogennema intermedia
Stomias boa
Conocara macroptera
Sergestes similis
Dimecoenia spinosa
Stichaeus grigorjewi
Lampanychtus ater
Benthalbella infans
Chloebia gouldiae
Praunus inermis
Boa constrictor
Delia radicum
Myoxocephalus jaok
Hexagrammos octogrammus
Ostorhinchus Cookii
Mustelus henlei
Himantura fai
Rinocetes nasutus
Gobiusculus flavescens
Mysis relicta sp.IV
Deilephila elpenor
Agraulis vanillae
Acanthephyra smithi
Coryphopterus nicholsii
Radiicephalus elongatus
Myzus persicae
Anthidium manicatum
Acipenser transmontanus
Cataglyphis bombycinus
Samia cynthia ricini
Haplochromis azurea
Theragra chalcogramma
Cerceris rybyensis
Procyon lotor
Pyrearinus termitilluminans
Lampanyctus alatus
Callonychium petuniae
Coryphaenoides armatus
Zaniolepis frenata
Carabus nemoralis
Camponotus abdominalis
Ahliesaurus berryi
Acanthephyra stylorostratis
Scomber japonicus
Chromis ovalis
Spodoptera exempta
Erythrocebus patas
Enteroctopus dofleini
Tarentola chazaliae
Cyrtodiopsis dalmanni
Thysanoessa raschii
Euprymna tasmanica
Urobatis jamaicensis
Gonepteryx aspasia
Asterocampa leilia
Lymantria dispar
Siproeta stelenes
Odontodactylus scyllarus
Meleagris  galoparvo
Zoarces viviparus
Cyttopsis rosea
Nothoprocta perdicaria
Locusta migratoria
Xylocopa brasilianorum
Geoclemys reevesii
Chromis vanderbilti
Holtbyrnia spinithara
Ichneumon spp.
Synathedon tipulif ormis
Engraulis mordax
Leptograspus variegatus
Acanthropagrus schlegelii
Anas playrhnchos domesticus
Sebastolobus alascanus
Callinectes sapidus
Schwarziana sp
Photuris potomaca
Danio malabaricus
Sygnathus leptorhynchus
Osmerus dentex
Gekko gecko
Malacocephalus laevis
Rouleina attrita
Bombus monticola
Urocerus gigas
Kali macrodon
Zebrasoma flavescens
Panorpa cognata
Plesiopenaeus armatus
Istiophorus  platypterus
Alepocephalus bairdii
Corvus frugilegus
Axoclinius carminalis
Thomomys bottae
Naso lituratus
Pandalus borealis
Pyrophorus punctatissimus
Cynops orientalis
Lutjanus sebae
Coenobita clypeatus
Gonodactylaceus falcatus
Luciola sp.
Leptotyphlops sp.
Papilio protenor
Nomada alboguttata
Melamphaes suborbitalis
Acanthurus achilles
Aequidens pulcher
Actias artemis aliena
Melipona marginata
Parupeneus multifasceatus
Aeshna tuberculifera
Payasandisia archon
Typhlonectes natans
Pithecia pithecia
Nothoprocta perdicaria sanborni
Melanonus zugmayeri
Zoramia  Viridiventer
Dendrochirus zebra
Argentina silus
Paravespula vulgaris
Polygonia c-album
Cottocomephorus grewingkii
Synaphobranchus kaupii
Marosatherina ladigesi
Caprimulgus europaeus
Coregonus clupeoides
Tenthredo campestris
Hemidactylus garnotii
Speyeria leto
Arothron meleagris
Psettichthys melanostictus
Geotrypetes seraphini
Argynnis ruslana
Opisthocentrus ocellatus
Sebastes caurinus
Asprocottus herzensteini
Aotus trivirgatus
Xenodermichthys copei
Myoxocephalus potyacanthocephalus
Citellus lateralis
Pundamilia luanso
Elops  saurus
Pandalus montagui
Ostorhinchus Cyanosoma
Cataglyphis aenescens
Diaphus rafinesquei
Centroswcymnus coleolepis
Aulostomus chinensis
Python regius
Lutjanus russellii
Ips paraconfusus
Nansenia longicauda
Typhlops hypomethes
Hemitripterus villosus
Panulirus argus
Oplophorus sp.
Serrivomer lanceolatoides
Pleuronectes asper
Anoplogaster cornuta
Clevelandia ios
Lutjanus carponotatus
Anomala corpulenta
Callambulyx tatarinovii
Vespula germanica
Squilla empusa
Systellaspis debilis
Limenitis lorquini
Amadina fasciata
Myoxocephalus stelleri
Coroebus undatus
Antheraea polyphemus
Ostracion meleagris
Microstomus pacificus
Ptilorhynchus violaceus
Oligocottus maculosus
Scorpaena porcus
Anolis gundlachi
