Anas platyrhynchos domesiticus
Borostomias elucens
Lethrinops parvidens
Clupea pallasii
Pteropus dasymallus
Cottocomephorus inermis
Rana pipiens
Parophrys vetulus
Fabriciana adippe
Carollia perspicillata
Neope goschkevitschii
Symphodus melops
Cottus kessleri
Heliconius charithonia
Canthidermis maculata
Mesocricetus auratus
Polyipnus polli
Ambystoma tigrinum adult
Acanthephyra curtirostris
Coryphaenoides carapinus
Pilumnus sayi
Bero elegans
Photuris lucicrescens
Hemimysis anomala
Struthio camelus
Alligator mississippiensis
Sternoptyx diaphana
Alosa kessleri
Anadevidia peponis
Rana cracrivora
Oryctolagus cuniculus
Aulorhynchus flavidus
Chlorops sp.
Orectolobus maculatus
Thysanopoda orientalis
Aphanopus  carbo
Scaphirhynchus albus
Lonchura striata
Hydrolagus mirabilis
Rhamphocottus richardsonii
Ichneumon stramentrius
Dermogenys pusilla
Parantica sita
Vulpes vulpes
Lepidopsetta bilineata
Anolis cristatellus
Ligia exotica
Orectolobus ornatus
Metynnis argenteus
Xiphister  atropurpureus
Gryllus bimaculatus
Hippoglossoides elassodon
Neoniphon sammara
Pieris rapae
Xiphydria camelus
Metriaclima melabranchion
Oncorhynchus keta
Gaidropsarus mediterraneus
Sergestes corniculum
Spermophilus lateralis
Lycaena phlaeas
Pomacentrus melanochir
Antherea polyphemus
Lepilemur ruficaudatus
Bodianus bilunulatus
Drosophilia melanogaster
Pseudopleuronectes herzensteini
Acanthropagrus major
Ctenophorus ornatus
Sasakia charonda
Geotria australis
Mora moro
Notostomus gibbosus
Taurulus bubalis
Adoxophyes orana
Anchoa mitchilli
Cottinella boulengeri
Merluccius merluccius
Hydrolagus colliei
Caelorhinchus labiatus
Gymnocanthus pistilliger
Perca  flavescens
Notostomus elegans
Myoxocephalus quadricornis
Bentheogennema intermedia
Stomias boa
Conocara macroptera
Sergestes similis
Bicyclus anynana
Dimecoenia spinosa
Stichaeus grigorjewi
Lampanychtus ater
Benthalbella infans
Esox lucius
Chloebia gouldiae
Praunus inermis
Boa constrictor
Mugil cephalus
Delia radicum
Myoxocephalus jaok
Hexagrammos octogrammus
Ostorhinchus Cookii
Mustelus henlei
Oncorhynchus gorbuscha
Himantura fai
Rinocetes nasutus
Gobiusculus flavescens
Mysis relicta sp.IV
Deilephila elpenor
Agraulis vanillae
Acanthephyra smithi
Coryphopterus nicholsii
Radiicephalus elongatus
Myzus persicae
Sus scrofa
Anthidium manicatum
Chauliodus macouni
Acipenser transmontanus
Cataglyphis bombycinus
Samia cynthia ricini
Plectroglyphidodon johnstonianus
Haplochromis azurea
Microstomus kitt
Theragra chalcogramma
Cerceris rybyensis
Procyon lotor
Pyrearinus termitilluminans
Lampanyctus alatus
Callonychium petuniae
Meriones unguiculatus
Coryphaenoides armatus
Zaniolepis frenata
Carabus nemoralis
Camponotus abdominalis
Ahliesaurus berryi
Acanthephyra stylorostratis
Scomber japonicus
Chromis ovalis
Spodoptera exempta
Erythrocebus patas
Enteroctopus dofleini
Tarentola chazaliae
Cyrtodiopsis dalmanni
Thysanoessa raschii
Euprymna tasmanica
Urobatis jamaicensis
Gonepteryx aspasia
Aristostomias tittmanni
Asterocampa leilia
Lymantria dispar
Siproeta stelenes
Odontodactylus scyllarus
Meleagris  galoparvo
Zoarces viviparus
Cyttopsis rosea
Amyelois transitella
Nothoprocta perdicaria
Locusta migratoria
Xylocopa brasilianorum
Geoclemys reevesii
Chromis vanderbilti
Holtbyrnia spinithara
Ichneumon spp.
Synathedon tipulif ormis
Engraulis mordax
Leptograspus variegatus
Acanthropagrus schlegelii
Anas playrhnchos domesticus
Sebastolobus alascanus
Callinectes sapidus
Schwarziana sp
Photuris potomaca
Danio malabaricus
Sepia officinalis
Myotis lucifugus
Sygnathus leptorhynchus
Myripristis violacea
Osmerus dentex
Gekko gecko
Malacocephalus laevis
Rouleina attrita
Bombus monticola
Urocerus gigas
Kali macrodon
Zebrasoma flavescens
Panorpa cognata
Plesiopenaeus armatus
Vespa crabro
Istiophorus  platypterus
Polyodon spathula
Alepocephalus bairdii
Corvus frugilegus
Axoclinius carminalis
Thomomys bottae
Naso lituratus
Pandalus borealis
Crenicichla frenata
Pyrophorus punctatissimus
Dissostichus mawsoni
Cynops orientalis
Lutjanus sebae
Coenobita clypeatus
Gonodactylaceus falcatus
Columba livia
Luciola sp.
Leptotyphlops sp.
Papilio protenor
Nomada alboguttata
Melamphaes suborbitalis
Phoca vitulina
Acanthurus achilles
Aequidens pulcher
Actias artemis aliena
Melipona marginata
Parupeneus multifasceatus
Neotrygon kuhlii
Aeshna tuberculifera
Payasandisia archon
Typhlonectes natans
Pithecia pithecia
Nothoprocta perdicaria sanborni
Melanonus zugmayeri
Zoramia  Viridiventer
Mus musculus
Dendrochirus zebra
Argentina silus
Paravespula vulgaris
Polygonia c-album
Cottocomephorus grewingkii
Bombus impatiens
Synaphobranchus kaupii
Isoodon obesulus
Marosatherina ladigesi
Caprimulgus europaeus
Coregonus clupeoides
Tenthredo campestris
Hemidactylus garnotii
Speyeria leto
Arothron meleagris
Psettichthys melanostictus
Geotrypetes seraphini
Argynnis ruslana
Opisthocentrus ocellatus
Sebastes caurinus
Asprocottus herzensteini
Heliconius erato petiverana
Aotus trivirgatus
Leptinotarsa decemlineata
Xenodermichthys copei
Myoxocephalus potyacanthocephalus
Citellus lateralis
Pundamilia luanso
Elops  saurus
Pandalus montagui
Ostorhinchus Cyanosoma
Callithrix jacchus jacchus
Cataglyphis aenescens
Diaphus rafinesquei
Limenitis weidemeyerii
Centroswcymnus coleolepis
Spodoptera exigua
Aulostomus chinensis
Python regius
Lutjanus russellii
Ips paraconfusus
Nansenia longicauda
Typhlops hypomethes
Hemitripterus villosus
Panulirus argus
Oplophorus sp.
Sargocentron diadema
Serrivomer lanceolatoides
Sminthopsis crassicaudata
Dascyllus trimaculatus
Pleuronectes asper
Anoplogaster cornuta
Clevelandia ios
Lutjanus carponotatus
Anomala corpulenta
Callambulyx tatarinovii
Vespula germanica
Squilla empusa
Systellaspis debilis
Sargocentron punctatissimum
Limenitis lorquini
Amadina fasciata
Myoxocephalus stelleri
Mesoplodon bidens
Coroebus undatus
Antheraea polyphemus
Ostracion meleagris
Poecilia parae
Microstomus pacificus
Ptilorhynchus violaceus
Setonix brachyurus
Oligocottus maculosus
Scorpaena porcus
Anolis gundlachi
Ichthyococcus ovatus
Bombus terrestris sassaricus
Avahi laniger
Clupea harengus
Pasiphaea emarginata
Mulloidichthys flavolineatus
Xiphister atropurpureus
Curtos sp.
Aglais urticae
Aedes albopictus
Chauliodus sloanei
Abramis ballerus
Lissotriton vulgaris
Lutzomyia longipalpis
Dromiceius novae-hollandiae
Sympetrum sp.
Funchalia villosa
Argyropelecus hemigymnus
Porichthys notatus
Conger conger
Libellula needhami
Pasiphaea chacei
Chimaera monstrosa
Anolis sagrei
Junonia coenia
Onitis alexis
Conocara salmonea
Lycaena rubidus
Artedius meanyi
Pseudopleuronectes americanus
Platyberyx opalescens
Salvelinus alpinus
Trachurus mediterraneus
Heliconius melpomene
Panopeus herbtii
Metriaclima barlowi
Melanostigma pammelas
Leuroglosus stilbius
Procottus jettelesi
Neogonodactylus curacaoensis
Evermannella balbo
Arachnocampa luminosa
Bombus fervidus
Corvus  frugilegus
Scomberomorus sierra
Ambystoma tigrinum aquatic
Hexagrammos octagrammus
Sesarma cinereum
Anartia jatrophae
Ephestia cautella
Ampelophaga rubiginosa
Lyopsetta exilis
Dasycottus setiger
Menippe mercenaria
Salmo trutta
Ostorhinchus Doederleini
Ctenophorus decresii
Tarsius bancanus
Opsanus tau
Ctenomys talarum
Sturnus vulgaris
Asterropteryx semipunctata
Bathysaurus mollis
Lonchura maga
Mysis relicta sp.II
Solenopsis saevissima
Aptychotrema vincentiana
Pachystomias microdon
Diaphus rafinesqueii
Notonecta undulata
Gennadas sp.
Thysanopoda acutifrons
Ameiurus catus
Plocepasser mahali
Hemidactylus frenatus
Alepocephalus australis
Lepidion eques
Typhlops platycephalus
Macaca mulatta
Ameiurus melas
Xenopus laevis
Lycaena heteronea
Danaus plexippus
Hyperoplus lanceolatus
Lycaena nivalis
Zenaida macroura
Microcebus murinus
Leptocottus armatus
Platichthys stellatus
Sebastes maliger
Melopsittacus undatus
Minois dryas
Gonodactylus oerstedii
Hoplostethus mediterraneus mediterraneus
Ischnura heterosticta
Platytroctes apus
Plagiotremus rhinorhynchos
Dascyllus albisella
Dacus oleae
Pieris rapae crucivora
Merluccius productus
Anthophora acervorum
Sebastes flavidus
Cercopithecus cephus
Syngnathus leptorhynchus
Romalea microptera
Stichaeus nozawae
Neomysis integer
Cataglyphis bicolor
Hymenodora glacialis
Mamestra brassicae
Odontodactylus brevirostris
