Protomelas taeniolatus
Ailuroedus crassirostris
Scylla serrata
Coregonus lavaretus
Gobiesox maecmdricus
Hypsurus caryi
Photuris potomaca
Ctenochaetus strigosus
Lycodes pacificus
Ichneumon stramentarius
Gonostoma elongatum
Bathylagus bericoides
Lampanyctus regalis
Histiobranchus bathybius
Osmia rufa
Serrivomer lanceolatoides
Systellaspis debilis
Acanthropagrus schlegelii
Photuris frontalis
Spheniscus humboldti
Ptychozoon lionotum
Coryphaenoides profundicolus
Cercopithecus cephus
Batrachocottus nikolskii
Marumba sperchius
Liparis dennyi
Systellaspis cristata
Ronquilus jordani
Bowmaniella sp.
Trygonoptera testacea
Nomada alboguttata
Brachydanio rerio
Lysiosqullia sulcata
Coryphaenoides carapinus
Gasterosteus acuelatus
Uca pugilator
Oplophorus gracilirostris
Acipenser medirostris
Scorpaenichthys marmoratus
Loligo subulata
Radiicephalus elongatus
Caelorhinchus labiatus
Sardinops melanostictus
Metriaclima benetos
Potos flavus
Cottocomephorus grewingki
Passeriformes Chloebia gouldiae
Melanostigma pammelas
Eurypanopeus depressus
Hippoglossoides herzensteini
Sphodromantis sp.
Saguinus fuscicollis
Diaphus lucidus
Galliformes Colinus virginianus
Bothragonus  swani
Galliformes Gallus gallus domesticus
Sebastes flavidus
Benthalbella infans
Sergia robustus
Caprimulgiformes Phalaenoptilus nuttallii
Rana pipiens
Archaeomysis grebnitzkii
Uca thayeri
Platichthys stellatus
Zebrasoma flavescens
Chromis vanderbilti
Fabriciana adippe
Phytichthys  chirus
Passeriformes Lonchura striata
Myotis velifer
Epigonus  telescopus
Sepia plangon
Nematobrachion sexspinosus
Palaemonetes vulgaris
Nymphalis xanthomelas
Antheraea polyphemus
Stichaeus nozawae
Sergia phorcus
Gilbertidia sigalutes
Hemilepidotus hemilepidotus
Ceratoscopelus warmingii
Hydrolagus mirabilis
Paromola cuvieri
Strophidon sathete
Sphyrna tiburo
Rinocetes nasutus
Gonostoma denudatum
Pagurus pollicaris
Struthioniformes Dromiceius novae-hollandiae
Passeriformes Turdus merula
Melecta punctata
Asterropteryx semipunctata
Ichthyophis cf. kohtaoensis
Thomomys bottae
Sympetrum sp.
Melanphaes canthomus
Salmo irideus
Melamphaes suborbitalis
Tribolodon hakonensis
