Dardanus fucosus
Coroebus undatus
Pergavor aspricaudus
Xiphister atropurpureus
Adoxophyes orana
Rhacochilus vacca
Plesionika martia
Xiphister  atropurpureus
Gilbertidia sigalutes
Clibanarius vittatus
Mullus barbatus
Anartia jatrophae
Simulium sp.
Notostomus gibbosus
Anomala corpulenta
Limenitis lorquini
Thunnus albacares
Gonodactylus smithii
Chloebia gouldiae
Capra hircus
Osmerus eperlanus
Sergia robustus
Chaetodon unimaculatus
Hermetia illucans
Stegastes fasciolatus
Nothoprocta perdicaria
Acanthropagrus berda
Euroleon nostras
Cebus spp.
Taeniura lymma
Penaeus duororum
Daubentonia madagascariensis 
Pleuronectes obscurus
Dasycottus setiger
Bombus fervidus
Megalocottus platycephalus
Strix aluco
Poecilia formosa
Apogon kallopterus
Sphyrna tiburo
Hemidactylus platyurus
Asterocampa celtis
Solenopsis saevissima
Albula vulpes
Xenos peckii
Photinus marginellus
Agraulis vanillae
Alburnus alburnus
Psychrobites paradoxus
Otolemur crassicaudatus
Janicella spinacauda
Spermophilus tridecemline
Opisthoproctus grimaldii
Ephestia cautella
Aptychotrema rostrata
Leptinotarsa decemlineata
Microcebus murinus
Diaphus lucidus
Icelinus borealis
Platycercus elegans
Zenaida macroura
Bombus impatiens
Sufflamen bursa
Colias erate
Balanus eburneus
Vulpes vulpes
Homarus gammarus
Gobius paganellus
Anolis lineatopus
Libinia emarginata
Alepocephalus bairdii
Pullosquilla thomassini
Benthalbella  infans
Spicara smaris
Gymnocanthus pistilliger
Argyropelecus aculeatus
Sergia phorcus
Sigmops elongatus
Teratoscincus scincus
Thysanopoda acutifrons
Myrmecia croslandi
Amphilophus longimanus
Hexagrammos decagrammus
Aulostomus chinensis
Procambarus milleri
Todarodes pacificus
Stichaeus grigorjevi
Brachyistius frenatus
Coryphaenoides carapinus
Zoramia  Leptacanthus
Acanthephyra purpurea
Cambarellus shufeldtii
Phalaenoides glycinae
Sminthopsis crassicaudata
Lampadena speculigera
Gonostoma denudatum
Haplochromis piceatus
Heliconius erato petiverana
Ichneumon stramentrius
Derichthys serpentinus
Coregonus clupeoides
Potamotrygon motoro
Aedes albopictus
Pseudopleuronectes herzensteini
Artemia salina
Paravespula germanica
Polyipnus polli
Cambarellus ludovicianus
Chaceon affinis
Sephanoides sephanoides
Penaeus penicillatus
Typhlops hypomethes
Nematoscelis megalops
Mamestra brassicae
Argynnis ruslana
Lampanyctus festivus
Ichthyocossus ovatus
Acantholumpenus mackayi
Chamaeleo dilepis
Platytroctes apus
Gekko gecko
Miopithecus talapoin
Oncorhynchus kisutch
Malacocephalus laevis
Ctenomys talarum
Octopus australis
Payasandisia archon
Nannobrachium atrum
Chlorophthalmus sp.
Liparis  greeni
Cottocomephorus inermis
Pomatoschistus minutus
Blepsias cirrhosus
Trachyscorpia cristulata
Melopsittacus undalatus
Geotrypetes seraphini
Neogonodactylus oerstedii
Gasterosteus acuelatus
Loligo pealii
Sesarma cinereum
Anableps anableps
Symphodus melops
Bufo bufo
Portunus spinimanis
Pagurus pollicaris
Trygonoptera testacea
Elephas maximus
Pyrophorus punctatissimus
Bero elegance
Acipenser fulvescens
Dascyllus trimaculatus
Cercopithecus cephus
Anolis bahorucoensis
Lipophyrs pholis
Lucidina biplagiata
Sepioteuthis lessoniana
Seriphus politus
Cloridopsis dubia
Heliconius numata
Sympetrum rubicundulum
Liparis dennyi
Mustelus henlei
Bombus distinguendis
Typhlops platycephalus
Spermophilus lateralis
Nematobrachion sexspinosus
Notoscopelus resplendens
Paralabrax clathratus
Anolis stratulus
Lethrus apterus
Dendroctonus pseudotsugae
Pundamilia nyererei
Portunus spinimanus
Portunus trituberculatus
Glossina moritans moritans
Podothecus acipenserinus
Ichthyophis cf. kohtaoensis
Agonopsis vulsa
Hymenodora glacialis
Clevelandia ios
Kuhlia sandvicensis
Parupeneus multifasceatus
Malacosteus niger
Papilo bianor
Chlamydera maculata
Metriaclima emmiltos
Hippocampus subelongatus
Stichaeus nozawae
Trichoplusia ni
Protaetia brevitarsis
Epigonus  telescopus
Cynotilapia afra
Schwarziana sp.
Ischnura elegans
Arctia plantaginis
Mysis relicta sp.IV
Heliconius erato
Dacus oleae
Cupiennius salei
Osmerus dentex
Lethrinops parvidens
Melanostigma pammelas
Bibio marci
Spodoptera exempta
Pagothenia borchgrevinki
Dendrochirus zebra
Ctenochaetus strigosus
Ptilorhynchus violaceus
Aulonocara hueseri
Libelloides macaronius
Lycaena heteronea
Gallus gallus
Limnocottus griseus
Uca pugilator
Ascelichthys rhodorus
Cydia strobilella
Cimex lectularius
Boa constrictor
Samia cynthia ricini
Pseudopleuronectes obscurus
Eustomias obscurus
Nerophis ophidion
Haematopota sp.
Tenthredo scrophulariae
Cottocomephorus grewingkii
Hemidactylus turcicus
Cynops pyrrhogaster
Phassus excrescens
Anolis pulchellus
Pomatoschistus microps
Geotria australis
Bentheogennema pasithea
Stigmatopora argus
Bicellonycha wickershamorum
Anthidium manicatum
Chlamydera nuchalis
Gymnothorax favagineus
Bolinichthys indicus
Buteo jamaicensis
Pundamilia pundamilia
Pagurus longicarpus
Meriones unguiculatus
Pundamilia au
Carcharhinus melanopterus
Abramis brama
Ptilichthys goodei
Squalus suckleyi
Coccinella septempunctata
Bowmaniella sp.
Xiphister mucosus
Diplodus annularis
Deilephila elpenor
Alepocephalus australis
Pandalus montagui
Canthidermis maculatus
Limnocottus eurystomus
Radiicephalus elongatus
Melopsittacus undulatus
Acipenser medirostris
Nemichthys scolopaceus
Myotis lucifugus
Coronis scolopendra
Xiphydria camelus
Caretta caretta
Oncorhynchus mykiss
Anilius scytale
Aglais urticae
Myzus persicae
Hipposideros speoris
Zoramia  Viridiventer
Rana cancrivora
Cebus sp.
Comephorus dybowskii
Ictalurus catus
Potos flavus
Petromyzon marinus
Micropoecilia parae
Maylandia zebra
Citellus lateralis
Junonia coenia
Cottunculus thomsonii
Fabriciana adippe
Mysis relicta
Aeschna cyanea
Hyperoplus lanceolatus
Acanthropagrus major
Rhadinesthes decimus
Aequidens pulcher
Proxylocopa sp.
Halosauropsis macrochir
Gonostoma atlanticum
Nephrops norvegicus
Valenciennellus tripunctulatus
Anas platyrhynchus
Danio malabaricus
Sternoptyx pseudobscura
Onitis alexis
Lemur catta
Mulloidichthys flavolineatus
Rhinella [=Bufo] marinus
Pseudotropheus acei
Glaucostegus typus
Caprimulgus europaeus
Pipilo fuscus
Liparis greeni
Engaeus cunicularius
Gryllus bimaculatus adult
Dama dama
Sergestes arcticus
Holmesimysis costata
