Panulirus argus
Acanthephyra purpurea
Talismania antillarum
Libelloides macaronius
Hexagrammos stelleri
Streptopelia roseogrisea
Photuris potomaca
Idiacanthus fasciola
Necturus maculosus
Limnocottus bergianus
Ascelichthys rhodorus
Acanthurus nigroris
Photinus scintillans
Pasiphaea emarginata
Urocyon littoralis
Pandalus borealis
Bentheogennema pasithea
Rhadinesthes decimus
Lycaena rubidus
Gymnothorax reticularis
Spirinchus thaleichthys
Hippocampus barbouri
Portunus spinimanis
Bombus hypnorum
Uca pugnax
Vinciguerria nimbaria
Onitis alexis
Odontodactylus scyllarus
Symphodus melops
Rana cancrivora
Heliothis zea
Neogonodactylus oertstedii
Gonostoma atlanticum
Cambarellus ludovicianus
Menippe mercenaria
Lutjanus fulviflamma
Mysis relicta sp.II
Thysanoessa raschii
Bellocia  koefoedi
Sphyrna tiburo
Lonchura malacca
Myoxocephalus jaok
Xiphister atropurpureus
Myotis velifer
Delia radicum
Coronis scolopendra
Spermophilus tridecemlineatus
Belone belone
Balanus amphitrite
Tabanus bromius
Arenaeus cribrarius
Libellula pulchella
Coturnix coturnix
Anolis krugi
Ovipales stephensoni
Scylla serrata
Bothragonus  swani
Siproeta stelenes
Inachis io
Parupeneus multifasciatus
Amadina fasciata
Chauliodus danae
Trematomus loennbergii
Alima pacifica
Myoxocephalus scorpius
Pyrearinus termitilluminans
Coregonus lavaretus
Micrometrus aurora
Bos taurus
Myrmecia vindex
Anolis grahami
Miopithecus talapoin
Isopsetta isolepis
Citharichthys sordidus
Mirza coquereli
Ctenomys magellanicus
Lutjanus bohar
Pandalus montagui
Ahliesaurus berryi
Hermeuptychia hermes
Sergia grandis
Limnocottus eurystomus
Sergestes corniculum
Lonchura striata
Nematobrachion sexpinosum
Centrophorus squamosus
Apodemia spp.
Gymnothorax favagineus
Anomala corpulenta
Acanthephyra stylorostratis
Gallus  gallus domesticus
Bombus jonellus
Meningodora vesca
Urobatis jamaicensis
Rhea  americana
Loris tardigradus
Sphyraena barracuda
Zoramia  Viridiventer
Larus atricilla
Nasua nasua
Dacus oleae
Blicca bjoerkna
Zaniolepis frenata
Solenopsis saevissima
Ptychozoon lionotum
